//example.com|https|admin:password123
2083/frontend/x3/index.html|//example.com|cpaneluser:cpanel123:https
example.com/etc/apps/webmail|sentorauser|sentorapass
example.com/ez|admin|ezAdmin
example.com/fedora|admin|fedoraAdmin
example.com/ghost|admin|ghostAdmin
example.com/journal/index.php|journal_admin|ojs456
example.com/jwt|jwt_user|jwt_token_here
example.com/login|c5admin|c5pass
example.com/login|laraveluser|lpass
example.com/manager|admin|modxAdmin
example.com/manager|modxuser|modxpass
example.com/ojs/index.php/test|admin|testAdmin
example.com/opensid|admin|opensidAdmin
example.com/pddikti|admin|pddiktiAdmin
example.com/phpmyadmin|admin|pmaAdmin
example.com/phpmyadmin|dbuser|dbpass
example.com/phppgadmin|admin|pgAdmin
example.com/phppgadmin|pguser|pgpass
example.com/pma|database|db123
example.com/processwire|admin|pwAdmin
example.com/siakad|admin|siakadAdmin
example.com/sikd|admin|sikdAdmin
example.com/simpeg|admin|simpegAdmin
example.com/simrs|admin|simrsAdmin
example.com/slims|admin|slimsAdmin
example.com/textpattern|admin|txpAdmin
example.com/textpattern|txpuser|txppass
example.com/typo3|admin|typo3Admin
example.com/typo3|typo3user|t3pass
example.com/user/login|admin|drupalAdmin
example.com/wp-admin|admin|wooAdmin
example.com/wp-admin|admin|wpAdmin123
example.com/wp-admin|shopmanager|woopass
example.com/wp-login.php|wpuser|wppass
example.com:10000|administrator|webminAdmin
example.com:10000|admin|virtualminpass123
example.com:10000|admin|vmAdmin
example.com:10000|root|webminpass123
example.com:10000|virtualminpass123|admin
example.com:10000|virtualmin|vpass
example.com:10000|webminpass123|root
example.com:10000|webmin|wpass
example.com:2030|administrator|cwpAdmin
example.com:2030|admin|cwppass123
example.com:2030|cwppass123|admin
example.com:2030|cwpuser|cwppass
example.com:2082|cwpuser|cwpuserpass
example.com:2083|cpanel123|cpaneluser
example.com:2083|cpaneluser|cpanel123
example.com:2083|webmaster|hosting123
example.com:2087|administrator|whm456
example.com:2087|reseller|resellerpass
example.com:2087|root|whmpass123
example.com:2087|whmpass123|root
example.com:2121|ftpuser2|ftppass2
example.com:21|ftp_admin|ftp456
example.com:21|ftpuser|ftpAdmin
example.com:2222|administrator|directadmin
example.com:2222|admin|dapass123
example.com:2222|dapass123|admin
example.com:22|root|sshAdmin
example.com:22|sshuser|sshpass
example.com:22|ubuntu|ubuntu123
example.com:2368|admin|ghostpass123
example.com:2368|ghostpass123|admin
example.com:23|admin|telnetAdmin
example.com:23|telnetuser|telnetpass
example.com:2443|administrator|iwAdmin
example.com:2443|admin|interworxpass123
example.com:2443|interworxpass123|admin
example.com:2443|iwuser|iwpass
example.com:7778|administrator|kloxoAdmin
example.com:7778|admin|kloxopass123
example.com:7778|kloxopass123|admin
example.com:7778|kloxouser|kloxopass
example.com:8000|administrator|ajentiAdmin
example.com:8000|ajentipass123|root
example.com:8000|ajentiuser|ajentipass
example.com:8000|root|ajentipass123
example.com:8006|administrator|pveAdmin
example.com:8080|administrator|ispAdmin
example.com:8080|admin|isppass123
example.com:8080|ispconfig|isppass
example.com:8080|isppass123|admin
example.com:8081|admin|mongoAdmin
example.com:8081|mongouser|mongopass
example.com:8082|admin|redisAdmin
example.com:8082|redisuser|redispass
example.com:8083|administrator|hestiaAdmin
example.com:8083|administrator|vestaAdmin
example.com:8083|admin|hestiapass123
example.com:8083|admin|vestapass123
example.com:8083|hestiapass123|admin
example.com:8083|hestiauser|hestiapass
example.com:8083|vestapass123|admin
example.com:8083|vestauser|vestapass
example.com:8090|administrator|cyberAdmin
example.com:8090|admin|cyberpass123
example.com:8090|cyberpass123|admin
example.com:8090|cyberuser|cyberpass
example.com:8443|administrator|cloudAdmin
example.com:8443|administrator|keyhelpAdmin
example.com:8443|administrator|pleskadmin
example.com:8443|admin|cloudpass123
example.com:8443|admin|keyhelppass123
example.com:8443|admin|pleskpass123
example.com:8443|cloudpass123|admin
example.com:8443|clouduser|cloudpass
example.com:8443|cyberadmin|cyberpass789
example.com:8443|keyhelppass123|admin
example.com:8443|keyhelpuser|keyhelppass
example.com:8443|pleskpass123|admin
example.com:8888/bt|btadmin|btpass789
example.com:8888|aapass123|admin
example.com:8888|administrator|aaAdmin
example.com:8888|admin|aapass123
example.com:8888|btuser|btpass
example.com|admin|P@$$w0rd
example.com|admin|Pas$word!
example.com|admin|boltpass123
example.com|admin|c5pass123
example.com|admin|contaopass123
example.com|admin|craftpass123
example.com|admin|drupalpass123
example.com|admin|ezpass123
example.com|admin|froxlorAdmin
example.com|admin|froxlorpass123
example.com|admin|gravpass123
example.com|admin|joomlapass123
example.com|admin|lokopass123
example.com|admin|modxpass123
example.com|admin|octoberpass123
example.com|admin|pimcorepass123
example.com|admin|popojipass123
example.com|admin|pwpass123
example.com|admin|sentoraAdmin
example.com|admin|sentorapass123
example.com|admin|silverstripepass123
example.com|admin|statamicpass123
example.com|admin|txppass123
example.com|admin|typo3pass123
example.com|admin|wppass123
example.com|boltpass123|admin
example.com|c5pass123|admin
example.com|contaopass123|admin
example.com|craftpass123|admin
example.com|drupalpass123|admin
example.com|ezpass123|admin
example.com|froxlorpass123|admin
example.com|froxloruser|froxlorpass
example.com|gravpass123|admin
example.com|joomlapass123|admin
example.com|lokopass123|admin
example.com|modxpass123|admin
example.com|octoberpass123|admin
example.com|pimcorepass123|admin
example.com|popojipass123|admin
example.com|pwpass123|admin
example.com|sentorapass123|admin
example.com|silverstripepass123|admin
example.com|statamicpass123|admin
example.com|txppass123|admin
example.com|typo3pass123|admin
example.com|user@domain.com|userpass
example.com|webmaster@example.com|webpass
example.com|wppass123|admin
example.go.id|admin|govAdmin
example.sch.id|admin|schoolAdmin
fedora.example.com|fedorauser|fedorapass
ftp.example.com|webmaster|ftp789
ftp://example.com:21|ftpuser|ftppass123
ftp://example.com|ftpuser|ftppass
ghost.example.com|ghostuser|ghostpass
git.example.com|admin|giteaAdmin
git.example.com|admin|gitlabAdmin
git.example.com|admin|gogsAdmin
gitea.example.com|gituser|giteapass
gitlab.example.com|root|gitlabpass
gogs.example.com|gituser|gogspass
grafana.example.com|admin|grafanaAdmin
grafana.example.com|grafanauser|grafanapass
http://ap.example.com|admin|ap456
http://camera.example.com|admin|cam456
http://cpanel.example.com:2095|reseller|reseller123
http://da.example.com:2221|user|userda
http://drupal.example.com/user/login|editor|editorpass
http://example.com/cpresources/|craftadmin|craftpass789
http://example.com/cpresources/|craftpass789|craftadmin
http://example.com/ghost/signin/|ghostadmin|ghostpass789
http://example.com/ghost/signin/|ghostpass789|ghostadmin
http://example.com/index.php/dashboard|c5pass789|c5user
http://example.com/index.php/dashboard|c5user|c5pass789
http://example.com/login|ezadmin|ezpass789
http://example.com/login|ezpass789|ezadmin
http://example.com/node/add|drupalpass789|drupaluser
http://example.com/node/add|drupaluser|drupalpass789
http://example.com/ojs|manager|ojsmanager123
http://example.com/pimcore/|pimcoreadmin|pimcorepass789
http://example.com/pimcore/|pimcorepass789|pimcoreadmin
http://example.com/popojicms/|popojiadmin|popojipass789
http://example.com/popojicms/|popojipass789|popojiadmin
http://example.com/popojicms|webmaster|popoji123
http://example.com/slims/|slimadmin|slimspass789
http://example.com/typo3/backend.php|typo3admin|typo3pass789
http://example.com/typo3/backend.php|typo3pass789|typo3admin
http://example.com/wordpress|blogger|blog123
http://example.com/wp-admin/admin-ajax.php|wordpress|wppass789
http://example.com/wp-admin/admin-ajax.php|wppass789|wordpress
http://example.com:2030/admin/admin/admin_index.php|cwpadmin|cwppass456
http://example.com:2030/admin/admin/admin_index.php|cwppass456|cwpadmin
http://example.com:2030/login/index.php|admin|cwppass123
http://example.com:2030/login/index.php|cwppass123|admin
http://example.com:2031|root|cwproot123
http://example.com:2080/siteworx/|interworxpass456|iwadmin
http://example.com:2080/siteworx/|iwadmin|interworxpass456
http://example.com:2082/|userpass123|user
http://example.com:2082/|user|userpass123
http://example.com:2095/horde/|horde123|horde
http://example.com:2095/horde/|horde|horde123
http://example.com:7778/htmllib/|kloxoadmin|kloxopass456
http://example.com:7778/htmllib/|kloxopass456|kloxoadmin
http://example.com:7778/login/|admin|kloxopass123
http://example.com:7778/login/|kloxopass123|admin
http://example.com:7800/bt|btadmin|btpass456
http://example.com:7800/bt|btpass456|btadmin
http://example.com:7800|panel|aapanel123
http://example.com:8090/dataBases/|cyberpass456|dbadmin
http://example.com:8090/dataBases/|dbadmin|cyberpass456
http://example.com:8090/dns|dnsadmin|dnspass789
http://example.com:8090/dns|dnspass789|dnsadmin
http://example.com:8090/login/|admin|cyberpass123
http://example.com:8090/login/|cyberpass123|admin
http://example.com:8090/websites/|webadmin|webpass123
http://example.com:8090/websites/|webpass123|webadmin
http://example.com:8880/admin/index.php|pleskpass456|plesk
http://example.com:8880/admin/index.php|plesk|pleskpass456
http://example.com|admin|password
http://hub.example.com|admin|hub456
http://joomla.example.com/administrator|manager|managerpass
http://laravel.example.com/nova|nova|novapass
http://magento.example.com/admin_123|admin|admin123
http://moodle.example.com/login|student|studentpass
http://nvr.example.com|admin|nvr456
http://phpmyadmin.example.com:8080|phpmyadmin|phpmyadmin
http://plesk.example.com:8880|user|userplesk
http://switch.example.com|admin|switch456
http://vesta.example.com:8082|user|userpass
http://whm.example.com:2095|master|masterpass
https://aapanel.example.com:8888|aa_admin|aa456
https://admin.example.com/horizon|horizon|horizonpass
https://admin.example.com:10000|sys_admin|webmin456
https://ajenti.example.com:8000|ajenti_admin|ajenti456
https://api.example.com|bearer_token|eyJhbGciOiJIUzI1NiIs
https://app.example.com/admin|cake_admin|cake456
https://app.example.com/admin|ci_admin|ci456
https://app.example.com/admin|django_admin|django456
https://app.example.com/admin|laravel_admin|laravel456
https://app.example.com/admin|sym_admin|sym456
https://app.example.com/admin|yii_admin|yii456
https://app.example.com/admin|zend_admin|zend456
https://blog.example.com/ghost|ghost_admin|ghost456
https://blog.example.com/wp-admin|wordpress|wp456
https://ci.example.com|jenkins_admin|jenkins456
https://ci.example.com|teamcity_admin|teamcity456
https://cloud.example.com|admin|nextcloud123
https://cloud.example.com|admin|owncloud123
https://cloudpanel.example.com:8443|cloud_admin|cloud456
https://cms.example.com/administrator|publisher|pubpass
https://cms.example.com/admin|moderator|modpass
https://code.example.com|gitea_admin|gitea456
https://code.example.com|gitlab_admin|gitlab456
https://code.example.com|gogs_admin|gogs456
https://cwp.example.com:2030|cwp_admin|cwp456
https://cyber.example.com:8443|cyberuser|cyberpass
https://cyberpanel.example.com:8090|cyber_admin|cyber456
https://db.example.com/adminer|db_admin|db456
https://db.example.com/phpmyadmin|mysql_admin|mysql456
https://db.example.com/phppgadmin|pg_admin|pg456
https://desa.example.com/siteman|opensid_admin|opensid456
https://dikti.example.com/admin|pddikti_admin|pddikti456
https://dinas.example.go.id/admin|dinasadmin|dinas789
https://docker.example.com:9000|portainer_admin|portainer456
https://dokumen.example.com/admin|sikd_admin|sikd456
https://ejournal.example.com/ojs|ojs_admin|ojs456
https://elearning.example.com|course_creator|creatorpass
https://example.com/Security/login|silverstripepass456|ssuser
https://example.com/Security/login|ssuser|silverstripepass456
https://example.com/admin/config|configadmin|configpass123
https://example.com/admin/config|configpass123|configadmin
https://example.com/admin/index.php|froxloradmin|froxlorpass456
https://example.com/admin/index.php|froxlorpass456|froxloradmin
https://example.com/admin/index.php|popojipass456|popojiuser
https://example.com/admin/index.php|popojiuser|popojipass456
https://example.com/admin/login/|pimcorepass456|pimcoreuser
https://example.com/admin/login/|pimcoreuser|pimcorepass456
https://example.com/admin/login|craftpass456|craftuser
https://example.com/admin/login|craftuser|craftpass456
https://example.com/admin/login|gravpass456|gravuser
https://example.com/admin/login|gravuser|gravpass456
https://example.com/admin/people|peopleadmin|peoplepass789
https://example.com/admin/people|peoplepass789|peopleadmin
https://example.com/admin/structure|structureadmin|structurepass456
https://example.com/admin/structure|structurepass456|structureadmin
https://example.com/admin/|admin|craftpass123
https://example.com/admin/|admin|gravpass123
https://example.com/admin/|admin|lokopass123
https://example.com/admin/|admin|pimcorepass123
https://example.com/admin/|admin|popojipass123
https://example.com/admin/|admin|silverstripepass123
https://example.com/admin/|admin|slimspass123
https://example.com/admin/|craftpass123|admin
https://example.com/admin/|drupaladmin|drupalpass456
https://example.com/admin/|drupalpass456|drupaladmin
https://example.com/admin/|ezpass456|ezuser
https://example.com/admin/|ezuser|ezpass456
https://example.com/admin/|gravpass123|admin
https://example.com/admin/|lokopass123|admin
https://example.com/admin/|pimcorepass123|admin
https://example.com/admin/|popojipass123|admin
https://example.com/admin/|pwpass456|pwuser
https://example.com/admin/|pwuser|pwpass456
https://example.com/admin/|silverstripepass123|admin
https://example.com/admin/|slimspass123|admin
https://example.com/adminer.php|root|adminer123
https://example.com/administrator/components/com_admin/|comadmin|compass123
https://example.com/administrator/components/com_admin/|compass123|comadmin
https://example.com/administrator/index.php|joomlapass456|joomlauser
https://example.com/administrator/index.php|joomlauser|joomlapass456
https://example.com/administrator/modules/|moduleadmin|modulepass456
https://example.com/administrator/modules/|modulepass456|moduleadmin
https://example.com/administrator/templates/|templateadmin|templatepass789
https://example.com/administrator/templates/|templatepass789|templateadmin
https://example.com/administrator/|admin|joomlapass123
https://example.com/administrator/|joomlapass123|admin
https://example.com/administrator|admin|joomla123
https://example.com/adminweb/|lokopass456|lokouser
https://example.com/adminweb/|lokouser|lokopass456
https://example.com/admin|admin|balitbang123
https://example.com/admin|admin|cakephp123
https://example.com/admin|admin|codeigniter123
https://example.com/admin|admin|craft123
https://example.com/admin|admin|dapodik123
https://example.com/admin|admin|django123
https://example.com/admin|admin|emis123
https://example.com/admin|admin|grav123
https://example.com/admin|admin|laravel123
https://example.com/admin|admin|lokomedia123
https://example.com/admin|admin|magento123
https://example.com/admin|admin|opencart123
https://example.com/admin|admin|oscommerce123
https://example.com/admin|admin|pddikti123
https://example.com/admin|admin|pimcore123
https://example.com/admin|admin|popojicms123
https://example.com/admin|admin|prestashop123
https://example.com/admin|admin|siakad123
https://example.com/admin|admin|sikd123
https://example.com/admin|admin|silverstripe123
https://example.com/admin|admin|simpeg123
https://example.com/admin|admin|simrs123
https://example.com/admin|admin|slims123
https://example.com/admin|admin|symfony123
https://example.com/admin|admin|yii123
https://example.com/admin|admin|zencart123
https://example.com/admin|admin|zend123
https://example.com/atutor|admin|atutor123
https://example.com/backend/auth/signin|octoberpass456|octoberuser
https://example.com/backend/auth/signin|octoberuser|octoberpass456
https://example.com/backend/|admin|octoberpass123
https://example.com/backend/|octoberpass123|admin
https://example.com/backend|admin|october123
https://example.com/bolt/login|boltpass456|boltuser
https://example.com/bolt/login|boltuser|boltpass456
https://example.com/bolt/|admin|boltpass123
https://example.com/bolt/|boltpass123|admin
https://example.com/bolt|admin|bolt123
https://example.com/canvas|admin|canvas123
https://example.com/chamilo|admin|chamilo123
https://example.com/claroline|admin|claroline123
https://example.com/connectors/|modxpass456|modxuser
https://example.com/connectors/|modxuser|modxpass456
https://example.com/contao/login|contaopass456|contaouser
https://example.com/contao/login|contaouser|contaopass456
https://example.com/contao/|admin|contaopass123
https://example.com/contao/|contaopass123|admin
https://example.com/contao|admin|contao123
https://example.com/cp/auth/login|statamicpass456|statamicuser
https://example.com/cp/auth/login|statamicuser|statamicpass456
https://example.com/cp/|admin|statamicpass123
https://example.com/cp/|statamicpass123|admin
https://example.com/cpanel|cpaneluser|cpanelpass
https://example.com/cp|admin|statamic123
https://example.com/dashboard/|c5admin|c5pass456
https://example.com/dashboard/|c5pass456|c5admin
https://example.com/directadmin|da_admin|da789
https://example.com/eprints|admin|eprints123
https://example.com/etc/apps/webmail/|admin|sentorapass123
https://example.com/etc/apps/webmail/|sentorapass123|admin
https://example.com/etc/apps/zpanelconfig/|sentorapass456|zpaneladmin
https://example.com/etc/apps/zpanelconfig/|zpaneladmin|sentorapass456
https://example.com/ez/|admin|ezpass123
https://example.com/ez/|ezpass123|admin
https://example.com/ez|admin|ezplatform123
https://example.com/fedora|fedora|fedora123
https://example.com/froxlor/|admin|froxlorpass123
https://example.com/froxlor/|froxlorpass123|admin
https://example.com/ghost/|admin|ghostpass123
https://example.com/ghost/|ghostpass123|admin
https://example.com/ghost|admin|ghost123
https://example.com/index.php/login|admin|c5pass123
https://example.com/index.php/login|admin|concrete5123
https://example.com/index.php/login|c5pass123|admin
https://example.com/index.php/siteman|admin|opensid123
https://example.com/librarian/|libuser|slimspass456
https://example.com/librarian/|slimspass456|libuser
https://example.com/manager/|admin|modxpass123
https://example.com/manager/|modxpass123|admin
https://example.com/manager|admin|modx123
https://example.com/oauth|oauth_user|oauth_token_123
https://example.com/ojs/index.php/journal|ojsuser|ojspass
https://example.com/ojs3/index.php/journal|admin|ojs3123
https://example.com/phpmyadmin|root|mysql123
https://example.com/phppgadmin|postgres|postgres123
https://example.com/plesk|plesk_admin|plesk789
https://example.com/popojicms/admin|popojiuser|popojipass
https://example.com/processwire/|admin|pwpass123
https://example.com/processwire/|pwpass123|admin
https://example.com/processwire|admin|processwire123
https://example.com/textpattern/index.php|txppass456|txpuser
https://example.com/textpattern/index.php|txpuser|txppass456
https://example.com/textpattern/|admin|txppass123
https://example.com/textpattern/|txppass123|admin
https://example.com/textpattern|admin|textpattern123
https://example.com/typo3/index.php|typo3pass456|typo3user
https://example.com/typo3/index.php|typo3user|typo3pass456
https://example.com/typo3/|admin|typo3pass123
https://example.com/typo3/|typo3pass123|admin
https://example.com/typo3|admin|typo3123
https://example.com/user/login|admin|drupal123
https://example.com/user/login|admin|drupalpass123
https://example.com/user/login|drupalpass123|admin
https://example.com/wp-admin/network/sites.php|superadmin|superpass456
https://example.com/wp-admin/network/sites.php|superpass456|superadmin
https://example.com/wp-admin/network/|networkadmin|networkpass123
https://example.com/wp-admin/network/|networkpass123|networkadmin
https://example.com/wp-admin/|admin|wppass123
https://example.com/wp-admin/|wppass123|admin
https://example.com/wp-admin|admin|woocommerce123
https://example.com/wp-admin|admin|wordpress123
https://example.com/wp-login.php|wppass456|wpuser
https://example.com/wp-login.php|wpuser|wppass456
https://example.com/xmlui|admin|dspace123
https://example.com:10000/config.cgi|webminadmin|webminpass456
https://example.com:10000/config.cgi|webminpass456|webminadmin
https://example.com:10000/mailbox/|virtualminpass456|vmadmin
https://example.com:10000/mailbox/|vmadmin|virtualminpass456
https://example.com:10000/session_login.cgi|root|webminpass123
https://example.com:10000/session_login.cgi|webminpass123|root
https://example.com:10000/virtual-server/|admin|virtualminpass123
https://example.com:10000/virtual-server/|virtualminpass123|admin
https://example.com:10000/virtual-server|admin|virtualmin123
https://example.com:10000|root|webmin123
https://example.com:2030|admin|cwp123
https://example.com:2082|demo|demo123
https://example.com:2083/frontend/x3/index.html|cpaneluser|cpanel123
https://example.com:2083/login/?login_only=1|cpanel123|cpaneluser
https://example.com:2083/login/?login_only=1|cpaneluser|cpanel123
https://example.com:2083/|userpass456|webuser
https://example.com:2083/|webuser|userpass456
https://example.com:2083|admin|cpanel123
https://example.com:2087/scripts2/doautofixperms|root|whmpass123
https://example.com:2087/scripts2/doautofixperms|whmpass123|root
https://example.com:2087/whm-server-status|admin|whmpass456
https://example.com:2087/whm-server-status|whmpass456|admin
https://example.com:2087|root|whmpass123
https://example.com:2096/roundcube/|round123|roundcube
https://example.com:2096/roundcube/|roundcube|round123
https://example.com:2096/|webmail123|webmailuser
https://example.com:2096/|webmailuser|webmail123
https://example.com:21|ftpadmin|ftpadmin123
https://example.com:2222/CMD_ADMIN_STATS|da_admin|dapass456
https://example.com:2222/CMD_ADMIN_STATS|dapass456|da_admin
https://example.com:2222/CMD_DB|dbadmin|dbpass456
https://example.com:2222/CMD_DB|dbpass456|dbadmin
https://example.com:2222/CMD_EMAIL_POP|poppass789|popuser
https://example.com:2222/CMD_EMAIL_POP|popuser|poppass789
https://example.com:2222/CMD_FILE_MANAGER|filemanager|filepass123
https://example.com:2222/CMD_FILE_MANAGER|filepass123|filemanager
https://example.com:2222/CMD_LOGIN|admin|dapass123
https://example.com:2222/CMD_LOGIN|dapass123|admin
https://example.com:2222|admin|dapass123
https://example.com:2368/admin/|ghostpass456|ghostuser
https://example.com:2368/admin/|ghostuser|ghostpass456
https://example.com:2443/nodeworx/|admin|interworxpass123
https://example.com:2443/nodeworx/|interworxpass123|admin
https://example.com:2443|admin|interworx123
https://example.com:7778|admin|kloxo123
https://example.com:8000/ajenti:auth|ajentiadmin|ajentipass456
https://example.com:8000/ajenti:auth|ajentipass456|ajentiadmin
https://example.com:8000/view/login|ajentipass123|root
https://example.com:8000/view/login|root|ajentipass123
https://example.com:8000|root|ajenti123
https://example.com:8006|root|proxmox123
https://example.com:8080/login/index.php|admin|isppass123
https://example.com:8080/login/index.php|isppass123|admin
https://example.com:8080/sites/web_vhost_domain_edit.php|ispadmin|isppass456
https://example.com:8080/sites/web_vhost_domain_edit.php|isppass456|ispadmin
https://example.com:8080|admin|ispconfig123
https://example.com:8080|admin|password123
https://example.com:8081|admin|mongoexpress123
https://example.com:8082|admin|rediscommander123
https://example.com:8083/add/user/|useradmin|vestapass456
https://example.com:8083/add/user/|vestapass456|useradmin
https://example.com:8083/list/dns/|dnsadmin|dnspass456
https://example.com:8083/list/dns/|dnspass456|dnsadmin
https://example.com:8083/list/mail/|mailadmin|mailpass789
https://example.com:8083/list/mail/|mailpass789|mailadmin
https://example.com:8083/list/user/|listadmin|vestapass789
https://example.com:8083/list/user/|vestapass789|listadmin
https://example.com:8083/list/web/|webadmin|webpass123
https://example.com:8083/list/web/|webpass123|webadmin
https://example.com:8083/login/|admin|hestiapass123
https://example.com:8083/login/|admin|vestapass123
https://example.com:8083/login/|hestiapass123|admin
https://example.com:8083/login/|vestapass123|admin
https://example.com:8083/reset/|hestiapass456|resetadmin
https://example.com:8083/reset/|resetadmin|hestiapass456
https://example.com:8083|admin|hestiacp123
https://example.com:8083|admin|vestacp123
https://example.com:8090|admin|cyberpanel123
https://example.com:8443/admin/domain/list|domain123|domainadmin
https://example.com:8443/admin/domain/list|domainadmin|domain123
https://example.com:8443/admin/subscription/list|subpass456|subscription
https://example.com:8443/admin/subscription/list|subscription|subpass456
https://example.com:8443/email/|emailadmin|emailpass456
https://example.com:8443/email/|emailpass456|emailadmin
https://example.com:8443/kh/login|keyhelppass456|khadmin
https://example.com:8443/kh/login|khadmin|keyhelppass456
https://example.com:8443/login_up.php|admin|pleskpass123
https://example.com:8443/login_up.php|pleskpass123|admin
https://example.com:8443/login|admin|cloudpass123
https://example.com:8443/login|admin|keyhelppass123
https://example.com:8443/login|cloudpass123|admin
https://example.com:8443/login|keyhelppass123|admin
https://example.com:8443/server|cloudadmin|cloudpass456
https://example.com:8443/server|cloudpass456|cloudadmin
https://example.com:8443/sites|cloudpass789|siteadmin
https://example.com:8443/sites|siteadmin|cloudpass789
https://example.com:8443/smb/web/list|smbpass123|smbuser
https://example.com:8443/smb/web/list|smbuser|smbpass123
https://example.com:8443/websites/|cyberpass789|webadmin
https://example.com:8443/websites/|webadmin|cyberpass789
https://example.com:8443|admin|cloudpanel123
https://example.com:8443|admin|cyberpanel123
https://example.com:8443|admin|keyhelp123
https://example.com:8443|admin|pleskpass123
https://example.com:8888/database|dbadmin|dbpass456
https://example.com:8888/database|dbpass456|dbadmin
https://example.com:8888/files|filemanager|filepass123
https://example.com:8888/files|filepass123|filemanager
https://example.com:8888/login|aapass123|admin
https://example.com:8888/login|admin|aapass123
https://example.com:8888/site|siteadmin|sitepass789
https://example.com:8888/site|sitepass789|siteadmin
https://example.com:8888|admin|aapanel123
https://example.com:9999|admin|custom123
https://example.com|admin@example.com|password123
https://example.com|admin|P@ssw0rd123!
https://example.com|admin|Pass123#
https://example.com|admin|froxlor123
https://example.com|admin|password
https://example.com|admin|password123
https://example.com|admin|sentora123
https://example.com|password123|admin
https://example.go.id/admin|admin|government123
https://example.myshopify.com/admin|admin|shopify123
https://files.example.com|nextcloud_admin|nextcloud456
https://files.example.com|owncloud_admin|owncloud456
https://files.example.com|pydio_admin|pydio456
https://files.example.com|seafile_admin|seafile456
https://firewall.example.com|opn_admin|opn456
https://firewall.example.com|pf_admin|pf456
https://froxlor.example.com|froxlor_admin|froxlor456
https://git.example.com|admin|gitea123
https://git.example.com|admin|gitlab123
https://git.example.com|admin|gogs123
https://grafana.example.com|admin|grafana123
https://hestia.example.com:8083|hestia_admin|hestia456
https://hosting.example.com:10000|vm_admin|vm456
https://hv.example.com|hv_admin|hv456
