# Extracted credentials using Ultra-Optimized Platform-Specific Credential Extractor v4.1.0 FINAL
# Platform: all_platforms
# Total credentials: 258
# Processing time: 0.05 seconds
# Extraction date: 2025-09-15 23:07:45
# Format: URL|Username|Password
#
https://panel.example.com:2222|dauser|dapass789
https://panel.example.com:8443|pleskuser|pleskpass789
https://plesk.example.com:8443|root|plesk456
https://secure.example.com:2096|root|securepass
https://server.example.com:2087|whmuser|whmpass789
https://shop.example.com/wp-admin|woo_admin|woo456
https://site.example.com/administrator|super_admin|joomla456
https://sub.example.com:2083|cpanel_admin|cpanel_secret
https://vcenter.example.com|administrator@vsphere.local|vmware123
https://vcenter.example.com|administrator|vmwareAdmin
https://whm.example.com|administrator|whm456
https://wp.example.com/wp-login.php|editor|editorpass
joomlauser|joomlapass456|https://example.com/administrator/index.php
keyhelppass123:192|admin|.168.1.1
khadmin|keyhelppass456|https://example.com:8443/kh/login
moduleadmin|modulepass456|https://example.com/administrator/modules/
networkadmin|networkpass123|https://example.com/wp-admin/network/
pass@localhost:3306|mysql|//user
pass@localhost:5432|postgresql|//user
pleskpass123:192|admin|.168.1.1
plesk|pleskpass456|http://example.com:8880/admin/index.php
popuser|poppass789|https://example.com:2222/CMD_EMAIL_POP
root|webminpass123|192.168.1.1:10000
root|webminpass123|example.com:10000
root|webminpass123|https://example.com:10000/session_login.cgi
root|whmpass123|192.168.1.1:2087
root|whmpass123|example.com:2087
root|whmpass123|https://example.com:2087/scripts2/doautofixperms
roundcube|round123|https://example.com:2096/roundcube/
sftp://example.com|sftpuser|sftppass
siteadmin|cloudpass789|https://example.com:8443/sites
smbuser|smbpass123|https://example.com:8443/smb/web/list
ssh.example.com|admin|ssh456
ssh://192.168.1.1:2222|admin|dapass123
ssh://directadmin.example.com:2222|root|da456
ssh://example.com:2222|administrator|directadmin
ssh://example.com:2222|admin|dapass123
ssh://example.com:22|root|ssh123
ssh://example.com:22|root|sshAdmin
ssh://example.com:22|sshuser|sshpass
ssh://example.com:22|ubuntu|ubuntu123
ssh://example.com|sshuser|sshpass
ssh://server.example.com:2222|admin|adminpass
subscription|subpass456|https://example.com:8443/admin/subscription/list
superadmin|superpass456|https://example.com/wp-admin/network/sites.php
templateadmin|templatepass789|https://example.com/administrator/templates/
user|userpass123|192.168.1.1:2082
user|userpass123|http://example.com:2082/
virtualminpass123:192|admin|.168.1.1
vmadmin|virtualminpass456|https://example.com:10000/mailbox/
webadmin|cyberpass789|https://example.com:8443/websites/
webmailuser|webmail123|192.168.1.1:2096
webmailuser|webmail123|https://example.com:2096/
webminadmin|webminpass456|https://example.com:10000/config.cgi
webminpass123:192|root|.168.1.1
webuser|userpass456|https://example.com:2083/
whm.example.com|admin|whmadmin
whmpass123:192|root|.168.1.1
wordpress|wppass789|http://example.com/wp-admin/admin-ajax.php
wpuser|wppass456|https://example.com/wp-login.php
|192.168.1.1|cpanel123
