//aapanel.example.com|https|8888;aa_admin;aa456
//admin.example.com|https|10000;sys_admin;webmin456
//ajenti.example.com|https|8000;ajenti_admin;ajenti456
//bt.example.com|https|8888#admin#aapanel789
//centos.example.com|https|2030#admin#cwp789
//cloudpanel.example.com|https|8443;cloud_admin;cloud456
//cwp.example.com|https|2030;cwp_admin;cwp456
//cyberpanel.example.com|https|8090;cyber_admin;cyber456
//docker.example.com|https|9000;portainer_admin;portainer456
//example.com|https|2083/login/?login_only=1;cpaneluser;cpanel123
//example.com|https|2086#root#rootpass
//example.com|https|21;ftpadmin;ftpadmin123
//example.com|https|8080 admin password123
//example.com|https|8080#admin#password123
//example.com|https|8080;admin;password123
//example.com|ldaps|636;secure_user;secure_pass
//example.com|rdp|3389#rdp_user#rdp_pass
//example.com|sftp|22#sftpuser#sftp123
//example.com|vnc|5900 vnc_user vnc_pass
//hestia.example.com|https|8083;hestia_admin;hestia456
//hestiacp.example.com|https|8083#admin#hestia789
//hosting.example.com|https|10000;vm_admin;vm456
//interworx.example.com|https|2443;iw_admin;iw456
//isp.example.com|https|8080;isp_admin;isp456
//ispconfig.example.com|https|8080#admin#isp789
//keyhelp.example.com|https|8443;keyhelp_admin;keyhelp456
//kloxo.example.com|https|7778;kloxo_admin;kloxo456
//litespeed.example.com|https|8090#admin#cyber789
//mongo.example.com|https|8081;mongo_admin;mongo456
//mongoexpress.example.com|https|8081#admin#mongo789
//panel.example.com|https|2443#admin#interworx789
//panel.example.com|https|7778#admin#kloxo789
//panel.example.com|https|8000#root#ajenti789
//panel.example.com|https|8443#admin#cloudpanel789
//panel.example.com|https|8443#admin#keyhelp789
//portainer.example.com|https|9000#admin#portainer789
//proxmox.example.com|https|8006#root#pve789
//pve.example.com|https|8006;pve_admin;pve456
//redis.example.com|https|8082;redis_admin;redis456
//rediscommander.example.com|https|8082#admin#redis789
//sub.example.com|https|2083 cpanel_admin cpanel_secret
//vesta.example.com|https|8083;vesta_admin;vesta456
//vestacp.example.com|https|8083#admin#vesta789
//virtualmin.example.com|https|10000#admin#vm789
//webmin.example.com|https|10000#root#webmin789
admin:password123|https|//example.com
admin|slimspass123|https://example.com/admin/
admin|statamicpass123|example.com
admin|statamicpass123|https://example.com/cp/
admin|txppass123|example.com
admin|txppass123|https://example.com/textpattern/
admin|typo3pass123|example.com
admin|typo3pass123|https://example.com/typo3/
admin|vestapass123|example.com:8083
admin|vestapass123|https://example.com:8083/login/
admin|virtualminpass123|example.com:10000
admin|virtualminpass123|https://example.com:10000/virtual-server/
admin|whmpass456|https://example.com:2087/whm-server-status
admin|wppass123|example.com
admin|wppass123|https://example.com/wp-admin/
ajentiadmin|ajentipass456|https://example.com:8000/ajenti:auth
atutor.example.com|instructor|atutorpass
boltuser|boltpass456|https://example.com/bolt/login
btadmin|btpass456|http://example.com:7800/bt
c5admin|c5pass456|https://example.com/dashboard/
c5user|c5pass789|http://example.com/index.php/dashboard
canvas.example.com|instructor|canvaspass
chamilo.example.com|teacher|chamilopass
claroline.example.com|teacher|claropass
cloudadmin|cloudpass456|https://example.com:8443/server
comadmin|compass123|https://example.com/administrator/components/com_admin/
configadmin|configpass123|https://example.com/admin/config
contaouser|contaopass456|https://example.com/contao/login
cpaneluser|cpanel123|example.com:2083
cpaneluser|cpanel123|https://example.com:2083/login/?login_only=1
craftadmin|craftpass789|http://example.com/cpresources/
craftuser|craftpass456|https://example.com/admin/login
da_admin|dapass456|https://example.com:2222/CMD_ADMIN_STATS
dapodik.example.com|ops|dapodikpass
dbadmin|cyberpass456|http://example.com:8090/dataBases/
dbadmin|dbpass456|https://example.com:2222/CMD_DB
dbadmin|dbpass456|https://example.com:8888/database
directadmin.example.com:2222|root|da456
dnsadmin|dnspass456|https://example.com:8083/list/dns/
dnsadmin|dnspass789|http://example.com:8090/dns
domainadmin|domain123|https://example.com:8443/admin/domain/list
drupaladmin|drupalpass456|https://example.com/admin/
drupaluser|drupalpass789|http://example.com/node/add
dspace.example.com|dspaceuser|dspacepass
emailadmin|emailpass456|https://example.com:8443/email/
emis.example.com|operator|emispass
eprints.example.com|eprintsuser|eprintspass
example.com/adminer|dbuser|dbpass
example.com/administrator|joomlauser|jpass
example.com/admin|balitbanguser|balitbangpass
example.com/admin|cakeuser|cakepass
example.com/admin|craftuser|craftpass
example.com/admin|djangouser|djpass
example.com/admin|drupaladmin|dpass
example.com/admin|ezuser|ezpass
example.com/admin|gravuser|gravpass
example.com/admin|lokouser|lokopass
example.com/admin|magentoadmin|mpass
example.com/admin|ocadmin|ocpass
example.com/admin|osadmin|ospass
example.com/admin|pimuser|pimpass
example.com/admin|popojiuser|popojipass
example.com/admin|psadmin|pspass
example.com/admin|pwuser|pwpass
example.com/admin|shopifyuser|shopifypass
example.com/admin|ssuser|sspass
example.com/admin|symuser|sympass
example.com/admin|yiiuser|yiipass
example.com/admin|zcadmin|zcpass
example.com/admin|zenduser|zendpass
example.com/api|api_key|abc123def456
example.com/auth|ciuser|cipass
example.com/backend|octuser|octpass
example.com/blog/wp-admin|author|authorpass
example.com/bolt|boltuser|boltpass
example.com/cms/admin|popoji_admin|popoji456
example.com/contao|contaouser|contaopass
example.com/cp|statuser|statpass
example.com/etc/apps/webmail|sentorauser|sentorapass
example.com/journal/index.php|journal_admin|ojs456
example.com/jwt|jwt_user|jwt_token_here
example.com/login|c5admin|c5pass
example.com/login|laraveluser|lpass
example.com/manager|modxuser|modxpass
example.com/phpmyadmin|dbuser|dbpass
example.com/phppgadmin|pguser|pgpass
example.com/pma|database|db123
example.com/textpattern|txpuser|txppass
example.com/typo3|typo3user|t3pass
example.com/wp-admin|shopmanager|woopass
example.com/wp-login.php|wpuser|wppass
example.com:10000|administrator|webminAdmin
example.com:10000|root|webminpass123
example.com:10000|virtualmin|vpass
example.com:10000|webmin|wpass
example.com:2030|administrator|cwpAdmin
example.com:2030|cwpuser|cwppass
example.com:2082|cwpuser|cwpuserpass
example.com:2083|cpaneluser|cpanel123
example.com:2083|webmaster|hosting123
example.com:2087|administrator|whm456
example.com:2087|reseller|resellerpass
example.com:2087|root|whmpass123
example.com:2121|ftpuser2|ftppass2
example.com:21|ftp_admin|ftp456
example.com:21|ftpuser|ftpAdmin
example.com:2222|administrator|directadmin
example.com:22|root|sshAdmin
example.com:22|sshuser|sshpass
example.com:22|ubuntu|ubuntu123
example.com:23|telnetuser|telnetpass
example.com:2443|administrator|iwAdmin
example.com:2443|iwuser|iwpass
example.com:7778|administrator|kloxoAdmin
example.com:7778|kloxouser|kloxopass
example.com:8000|administrator|ajentiAdmin
example.com:8000|ajentiuser|ajentipass
example.com:8000|root|ajentipass123
example.com:8006|administrator|pveAdmin
example.com:8080|administrator|ispAdmin
example.com:8080|ispconfig|isppass
example.com:8081|mongouser|mongopass
example.com:8082|redisuser|redispass
example.com:8083|administrator|hestiaAdmin
example.com:8083|administrator|vestaAdmin
example.com:8083|hestiauser|hestiapass
example.com:8083|vestauser|vestapass
example.com:8090|administrator|cyberAdmin
example.com:8090|cyberuser|cyberpass
example.com:8443|administrator|cloudAdmin
example.com:8443|administrator|keyhelpAdmin
example.com:8443|administrator|pleskadmin
example.com:8443|clouduser|cloudpass
example.com:8443|cyberadmin|cyberpass789
example.com:8443|keyhelpuser|keyhelppass
example.com:8888/bt|btadmin|btpass789
example.com:8888|administrator|aaAdmin
example.com:8888|btuser|btpass
example.com|10000|root
example.com|2083|cpaneluser
example.com|2087|root
example.com|8000|root
example.com|froxloruser|froxlorpass
example.com|user@domain.com|userpass
example.com|webmaster@example.com|webpass
ezadmin|ezpass789|http://example.com/login
ezuser|ezpass456|https://example.com/admin/
fedora.example.com|fedorauser|fedorapass
filemanager|filepass123|https://example.com:2222/CMD_FILE_MANAGER
filemanager|filepass123|https://example.com:8888/files
froxloradmin|froxlorpass456|https://example.com/admin/index.php
ftp.example.com|webmaster|ftp789
ftp://example.com:21|ftpuser|ftppass123
ftp://example.com|ftpuser|ftppass
ghost.example.com|ghostuser|ghostpass
ghostadmin|ghostpass789|http://example.com/ghost/signin/
ghostuser|ghostpass456|https://example.com:2368/admin/
gitea.example.com|gituser|giteapass
gitlab.example.com|root|gitlabpass
gogs.example.com|gituser|gogspass
grafana.example.com|grafanauser|grafanapass
gravuser|gravpass456|https://example.com/admin/login
horde|horde123|http://example.com:2095/horde/
http://cpanel.example.com:2095|reseller|reseller123
http://drupal.example.com/user/login|editor|editorpass
http://example.com/cpresources/|craftadmin|craftpass789
http://example.com/ghost/signin/|ghostadmin|ghostpass789
http://example.com/index.php/dashboard|c5user|c5pass789
http://example.com/login|ezadmin|ezpass789
http://example.com/node/add|drupaluser|drupalpass789
http://example.com/ojs|manager|ojsmanager123
http://example.com/pimcore/|pimcoreadmin|pimcorepass789
http://example.com/popojicms/|popojiadmin|popojipass789
http://example.com/popojicms|webmaster|popoji123
http://example.com/slims/|slimadmin|slimspass789
http://example.com/typo3/backend.php|typo3admin|typo3pass789
http://example.com/wordpress|blogger|blog123
http://example.com/wp-admin/admin-ajax.php|wordpress|wppass789
http://example.com:2030/admin/admin/admin_index.php|cwpadmin|cwppass456
http://example.com:2031|root|cwproot123
http://example.com:2080/siteworx/|iwadmin|interworxpass456
http://example.com:2095/horde/|horde|horde123
http://example.com:7778/htmllib/|kloxoadmin|kloxopass456
http://example.com:7800/bt|btadmin|btpass456
http://example.com:7800|panel|aapanel123
http://example.com:8090/dataBases/|dbadmin|cyberpass456
http://example.com:8090/dns|dnsadmin|dnspass789
http://example.com:8090/websites/|webadmin|webpass123
http://example.com:8880/admin/index.php|plesk|pleskpass456
http://joomla.example.com/administrator|manager|managerpass
http://laravel.example.com/nova|nova|novapass
http://moodle.example.com/login|student|studentpass
http://phpmyadmin.example.com:8080|phpmyadmin|phpmyadmin
http://whm.example.com:2095|master|masterpass
https://admin.example.com/horizon|horizon|horizonpass
https://api.example.com|bearer_token|eyJhbGciOiJIUzI1NiIs
https://app.example.com/admin|cake_admin|cake456
https://app.example.com/admin|ci_admin|ci456
https://app.example.com/admin|django_admin|django456
https://app.example.com/admin|laravel_admin|laravel456
https://app.example.com/admin|sym_admin|sym456
https://app.example.com/admin|yii_admin|yii456
https://app.example.com/admin|zend_admin|zend456
https://blog.example.com/ghost|ghost_admin|ghost456
https://blog.example.com/wp-admin|wordpress|wp456
https://ci.example.com|jenkins_admin|jenkins456
https://ci.example.com|teamcity_admin|teamcity456
https://cms.example.com/administrator|publisher|pubpass
https://cms.example.com/admin|moderator|modpass
https://code.example.com|gitea_admin|gitea456
https://code.example.com|gitlab_admin|gitlab456
https://code.example.com|gogs_admin|gogs456
https://cyber.example.com:8443|cyberuser|cyberpass
https://db.example.com/adminer|db_admin|db456
https://db.example.com/phpmyadmin|mysql_admin|mysql456
https://db.example.com/phppgadmin|pg_admin|pg456
https://desa.example.com/siteman|opensid_admin|opensid456
https://dikti.example.com/admin|pddikti_admin|pddikti456
https://dinas.example.go.id/admin|dinasadmin|dinas789
https://dokumen.example.com/admin|sikd_admin|sikd456
https://ejournal.example.com/ojs|ojs_admin|ojs456
https://elearning.example.com|course_creator|creatorpass
https://example.com/Security/login|ssuser|silverstripepass456
https://example.com/admin/config|configadmin|configpass123
https://example.com/admin/index.php|froxloradmin|froxlorpass456
https://example.com/admin/index.php|popojiuser|popojipass456
https://example.com/admin/login/|pimcoreuser|pimcorepass456
https://example.com/admin/login|craftuser|craftpass456
https://example.com/admin/login|gravuser|gravpass456
https://example.com/admin/people|peopleadmin|peoplepass789
https://example.com/admin/structure|structureadmin|structurepass456
https://example.com/admin/|drupaladmin|drupalpass456
https://example.com/admin/|ezuser|ezpass456
https://example.com/admin/|pwuser|pwpass456
https://example.com/adminer.php|root|adminer123
https://example.com/administrator/components/com_admin/|comadmin|compass123
https://example.com/administrator/index.php|joomlauser|joomlapass456
https://example.com/administrator/modules/|moduleadmin|modulepass456
https://example.com/administrator/templates/|templateadmin|templatepass789
https://example.com/adminweb/|lokouser|lokopass456
https://example.com/backend/auth/signin|octoberuser|octoberpass456
https://example.com/bolt/login|boltuser|boltpass456
https://example.com/connectors/|modxuser|modxpass456
https://example.com/contao/login|contaouser|contaopass456
https://example.com/cp/auth/login|statamicuser|statamicpass456
https://example.com/cpanel|cpaneluser|cpanelpass
https://example.com/dashboard/|c5admin|c5pass456
https://example.com/directadmin|da_admin|da789
https://example.com/etc/apps/zpanelconfig/|zpaneladmin|sentorapass456
https://example.com/fedora|fedora|fedora123
https://example.com/librarian/|libuser|slimspass456
https://example.com/oauth|oauth_user|oauth_token_123
https://example.com/ojs/index.php/journal|ojsuser|ojspass
https://example.com/phpmyadmin|root|mysql123
https://example.com/phppgadmin|postgres|postgres123
https://example.com/plesk|plesk_admin|plesk789
https://example.com/popojicms/admin|popojiuser|popojipass
https://example.com/textpattern/index.php|txpuser|txppass456
https://example.com/typo3/index.php|typo3user|typo3pass456
https://example.com/wp-admin/network/sites.php|superadmin|superpass456
https://example.com/wp-admin/network/|networkadmin|networkpass123
https://example.com/wp-login.php|wpuser|wppass456
https://example.com:10000/config.cgi|webminadmin|webminpass456
https://example.com:10000/mailbox/|vmadmin|virtualminpass456
https://example.com:10000/session_login.cgi|root|webminpass123
https://example.com:10000|root|webmin123
https://example.com:2082|demo|demo123
https://example.com:2083/frontend/x3/index.html|cpaneluser|cpanel123
https://example.com:2083/login/?login_only=1|cpaneluser|cpanel123
https://example.com:2083/|webuser|userpass456
https://example.com:2087/scripts2/doautofixperms|root|whmpass123
https://example.com:2087|root|whmpass123
https://example.com:2096/roundcube/|roundcube|round123
https://example.com:2096/|webmailuser|webmail123
https://example.com:2222/CMD_ADMIN_STATS|da_admin|dapass456
https://example.com:2222/CMD_DB|dbadmin|dbpass456
https://example.com:2222/CMD_EMAIL_POP|popuser|poppass789
https://example.com:2222/CMD_FILE_MANAGER|filemanager|filepass123
https://example.com:2368/admin/|ghostuser|ghostpass456
https://example.com:8000/ajenti:auth|ajentiadmin|ajentipass456
https://example.com:8000/view/login|root|ajentipass123
https://example.com:8000|root|ajenti123
https://example.com:8006|root|proxmox123
https://example.com:8080/sites/web_vhost_domain_edit.php|ispadmin|isppass456
https://example.com:8083/add/user/|useradmin|vestapass456
https://example.com:8083/list/dns/|dnsadmin|dnspass456
https://example.com:8083/list/mail/|mailadmin|mailpass789
https://example.com:8083/list/user/|listadmin|vestapass789
https://example.com:8083/list/web/|webadmin|webpass123
https://example.com:8083/reset/|resetadmin|hestiapass456
https://example.com:8443/admin/domain/list|domainadmin|domain123
https://example.com:8443/admin/subscription/list|subscription|subpass456
https://example.com:8443/email/|emailadmin|emailpass456
https://example.com:8443/kh/login|khadmin|keyhelppass456
https://example.com:8443/server|cloudadmin|cloudpass456
https://example.com:8443/sites|siteadmin|cloudpass789
https://example.com:8443/smb/web/list|smbuser|smbpass123
https://example.com:8443/websites/|webadmin|cyberpass789
https://example.com:8888/database|dbadmin|dbpass456
https://example.com:8888/files|filemanager|filepass123
https://example.com:8888/site|siteadmin|sitepass789
https://example.com|admin@example.com|password123
https://files.example.com|nextcloud_admin|nextcloud456
https://files.example.com|owncloud_admin|owncloud456
https://files.example.com|pydio_admin|pydio456
https://files.example.com|seafile_admin|seafile456
https://firewall.example.com|opn_admin|opn456
https://firewall.example.com|pf_admin|pf456
https://froxlor.example.com|froxlor_admin|froxlor456
https://hv.example.com|hv_admin|hv456
https://hyperv.example.com|administrator|hyperv123
https://ids.example.com|ossec_admin|ossec456
https://journal.example.com/index.php/demo|demo_admin|demo456
https://k8s.example.com|rancher_admin|rancher456
https://kampus.example.com/admin|siakad_admin|siakad456
https://kelas.example.com/claroline|claro_admin|claro456
https://kepegawaian.example.com/admin|simpeg_admin|simpeg456
https://klinik.example.co.id/admin|perawat|klinik789
https://learn.example.com/canvas|canvas_admin|canvas456
https://learn.example.com/chamilo|chamilo_admin|chamilo456
https://library.example.com/admin|slims_admin|slims456
https://lms.example.com|moodle_admin|moodle456
https://logs.example.com|kibana_admin|kibana456
https://madrasah.example.com/admin|emis_admin|emis456
https://mail.example.com/iredadmin|admin@example.com|iredmail123
https://mail.example.com/iredadmin|ired_admin|ired456
https://mail.example.com/postfixadmin|postfix_admin|postfix456
https://mail.example.com/squirrelmail|admin@example.com|squirrel123
https://mail.example.com|admin@example.com|roundcube123
https://mail.example.com|postmaster@example.com|mailpass
https://marketplace.example.co.id/admin|seller|marketplace789
https://monitoring.example.com/nagios|nagios_admin|nagios456
https://monitoring.example.com|grafana_admin|grafana456
https://monitoring.example.com|prometheus_admin|prometheus456
https://monitoring.example.com|zabbix_admin|zabbix456
https://mysql.example.com/phpmyadmin|mysqluser|mysqlpass
https://nagios.example.com/nagios|nagiosadmin|nagios123
https://news.example.com/wp-admin|contributor|contributorpass
https://opnsense.example.com|root|opnsense123
https://panel.example.com:2222|dauser|dapass789
https://panel.example.com:8443|pleskuser|pleskpass789
https://panel.example.com:8888/login|aauser|aapass
https://repository.example.com/eprints|eprints_admin|eprints456
https://repository.example.com/fedora|fedora_admin|fedora456
https://repository.example.com/xmlui|dspace_admin|dspace456
https://rumahsakit.example.com/admin|simrs_admin|simrs456
https://secure.example.com:2096|root|securepass
https://sekolah.example.com/admin|dapodik_admin|dapodik456
https://sentora.example.com|sentora_admin|sentora456
https://server.example.com:2087|whmuser|whmpass789
https://shop.example.com/admin|presta_admin|presta456
https://shop.example.com/admin|shopify_admin|shopify456
https://shop.example.com/admin|store_admin|magento456
https://shop.example.com/admin|zen_admin|zen456
https://shop.example.com/wp-admin|woo_admin|woo456
https://siem.example.com|wazuh_admin|wazuh456
https://site.example.com/administrator|super_admin|joomla456
https://site.example.com/admin|balitbang_admin|balitbang456
https://site.example.com/admin|craft_admin|craft456
https://site.example.com/admin|grav_admin|grav456
https://site.example.com/admin|loko_admin|loko456
https://site.example.com/admin|pim_admin|pim456
https://site.example.com/admin|popoji_admin|popoji456
https://site.example.com/admin|ss_admin|ss456
https://site.example.com/backend|oct_admin|oct456
https://site.example.com/bolt|bolt_admin|bolt456
https://site.example.com/contao|contao_admin|contao456
https://site.example.com/cp|stat_admin|stat456
https://site.example.com/dashboard|c5_admin|c5456
https://site.example.com/ez|ez_admin|ez456
https://site.example.com/manager|modx_admin|modx456
https://site.example.com/processwire|pw_admin|pw456
https://site.example.com/textpattern|txp_admin|txp456
https://site.example.com/typo3|typo3_admin|typo3456
https://site.example.com/user|webmaster|drupal456
https://smp.example.sch.id/admin|kepala_sekolah|sekolah789
https://store.example.com/admin|opencart_admin|oc456
https://store.example.com/admin|osc_admin|osc456
https://store.example.com/backend|storeowner|storepass
https://tutorial.example.com/atutor|atutor_admin|atutor456
https://vcenter.example.com|administrator@vsphere.local|vmware123
https://vmware.example.com|vc_admin|vc456
https://webmail.example.com/rainloop|mail_admin|rainloop456
https://webmail.example.com/squirrelmail|mail_admin|squirrel456
https://webmail.example.com|mail_admin|mail456
https://whm.example.com|administrator|whm456
https://wp.example.com/wp-login.php|editor|editorpass
https://zabbix.example.com|Admin|zabbix123
hyperv.example.com|administrator|hypervAdmin
hyperv.example.com|hvuser|hvpass
iredmail.example.com|ireduser|iredpass
ispadmin|isppass456|https://example.com:8080/sites/web_vhost_domain_edit.php
iwadmin|interworxpass456|http://example.com:2080/siteworx/
jenkins.example.com|jenkinsuser|jenkinspass
joomlauser|joomlapass456|https://example.com/administrator/index.php
khadmin|keyhelppass456|https://example.com:8443/kh/login
kibana.example.com|kibanauser|kibanapass
kloxoadmin|kloxopass456|http://example.com:7778/htmllib/
ldap://example.com:389|ldapuser|ldappass
ldap://example.com|ldapuser|ldappass
libuser|slimspass456|https://example.com/librarian/
listadmin|vestapass789|https://example.com:8083/list/user/
lokouser|lokopass456|https://example.com/adminweb/
mail.example.com|admin@domain.com|iredAdmin
mail.example.com|admin@domain.com|mailAdmin
mail.example.com|admin@domain.com|squirrelAdmin
mail.example.com|mailuser|mailpass
mail.example.com|mailuser|squirrelpass
mailadmin|mailpass789|https://example.com:8083/list/mail/
moduleadmin|modulepass456|https://example.com/administrator/modules/
modxuser|modxpass456|https://example.com/connectors/
moodle.example.com|teacher|moodlepass
nagios.example.com|nagiosadmin|nagiosAdmin
nagios.example.com|nagiosuser|nagiospass
networkadmin|networkpass123|https://example.com/wp-admin/network/
nextcloud.example.com|clouduser|cloudpass
octoberuser|octoberpass456|https://example.com/backend/auth/signin
ojs.example.com/index.php|editor|ojspass
ojs3.example.com/index.php|editor|ojs3pass
olshop.example.id|penjual|olshop456
opensid.example.com|siduser|opensidpass
opnsense.example.com|opnuser|opnpass
opnsense.example.com|root|opnAdmin
ossec.example.com|ossecuser|ossecpass
owncloud.example.com|clouduser|owncloudpass
pddikti.example.com|operator|pddiktipass
peopleadmin|peoplepass789|https://example.com/admin/people
pfsense.example.com|pfuser|pfpass
pimcoreadmin|pimcorepass789|http://example.com/pimcore/
pimcoreuser|pimcorepass456|https://example.com/admin/login/
plesk.example.com:8443|root|plesk456
plesk|pleskpass456|http://example.com:8880/admin/index.php
popojiadmin|popojipass789|http://example.com/popojicms/
popojiuser|popojipass456|https://example.com/admin/index.php
popuser|poppass789|https://example.com:2222/CMD_EMAIL_POP
portainer.example.com:9000|portaineruser|portainerpass
portal.pemda.example.id|webmaster|pemda456
postfixadmin.example.com|postfixuser|postfixpass
prometheus.example.com|promuser|prometheuspass
proxmox.example.com:8006|pveuser|pvepass
pwuser|pwpass456|https://example.com/admin/
pydio.example.com|pydiouser|pydiopass
rainloop.example.com|mailuser|rainlooppass
rancher.example.com|rancheruser|rancherpass
resetadmin|hestiapass456|https://example.com:8083/reset/
root|ajentipass123|example.com:8000
root|ajentipass123|https://example.com:8000/view/login
root|webminpass123|example.com:10000
root|webminpass123|https://example.com:10000/session_login.cgi
root|whmpass123|example.com:2087
root|whmpass123|https://example.com:2087/scripts2/doautofixperms
roundcube|round123|https://example.com:2096/roundcube/
seafile.example.com|seauser|seafilepass
sftp://example.com|sftpuser|sftppass
siakad.example.ac.id|dosen|siakad456
siakad.example.com|dosen|siakadpass
sikd.example.com|operator|sikdpass
simpeg.example.com|pegawai|simpegpass
simrs.example.co.id|dokter|rs456
simrs.example.com|dokter|simrspass
siteadmin|cloudpass789|https://example.com:8443/sites
siteadmin|sitepass789|https://example.com:8888/site
slims.example.com|libuser|slimspass
smbuser|smbpass123|https://example.com:8443/smb/web/list
ssh://example.com:22|root|ssh123
ssh://example.com|sshuser|sshpass
ssuser|silverstripepass456|https://example.com/Security/login
statamicuser|statamicpass456|https://example.com/cp/auth/login
structureadmin|structurepass456|https://example.com/admin/structure
subscription|subpass456|https://example.com:8443/admin/subscription/list
superadmin|superpass456|https://example.com/wp-admin/network/sites.php
teamcity.example.com|tcuser|teamcitypass
telnet.example.com|root|telnet456
telnet://example.com|telnetuser|telnetpass
templateadmin|templatepass789|https://example.com/administrator/templates/
txpuser|txppass456|https://example.com/textpattern/index.php
typo3admin|typo3pass789|http://example.com/typo3/backend.php
typo3user|typo3pass456|https://example.com/typo3/index.php
useradmin|vestapass456|https://example.com:8083/add/user/
user|userpass123|http://example.com:2082/
vcenter.example.com|administrator|vmwareAdmin
vcenter.example.com|vcuser|vcpass
vmadmin|virtualminpass456|https://example.com:10000/mailbox/
wazuh.example.com|wazuhuser|wazuhpass
webadmin|cyberpass789|https://example.com:8443/websites/
webadmin|webpass123|http://example.com:8090/websites/
webadmin|webpass123|https://example.com:8083/list/web/
webmailuser|webmail123|https://example.com:2096/
webminadmin|webminpass456|https://example.com:10000/config.cgi
